price,vehicleType,gearbox,powerPS,fuelType,brand,vehicleAge,miles
28900,6,0,239,2,1,13,77500
10490,5,1,140,2,1,13,93000
28499,5,0,239,2,1,12,55800
11500,5,0,160,2,16,8,93000
5000,1,1,122,2,12,23,93000
11800,5,1,170,2,1,17,93000
9499,6,1,136,2,12,15,93000
12950,1,1,105,2,26,12,62000
5200,5,0,163,1,12,22,77500
9099,6,1,280,1,20,19,77500
8200,4,1,122,1,13,17,55800
13980,6,0,231,2,2,17,93000
6499,1,1,136,2,6,17,93000
8850,5,0,190,2,12,18,93000
7199,6,1,140,2,26,14,93000
16299,6,0,239,2,1,13,93000
9990,7,1,150,2,10,13,62000
13800,5,1,190,2,1,15,93000
15750,5,1,184,2,2,12,77500
11800,6,0,260,1,1,22,93000
21500,7,0,224,2,12,14,55800
11900,6,0,179,2,1,16,93000
5350,4,1,116,1,13,20,93000
6000,6,0,177,2,2,14,77500
41900,6,0,457,1,12,11,37200
5990,3,0,197,1,12,21,93000
7800,6,0,104,2,26,17,93000
8799,4,1,87,1,8,9,18600
10500,7,1,140,1,10,14,24800
12000,6,1,140,1,12,54,49600
8450,1,1,131,2,6,15,93000
5000,5,0,136,2,6,15,93000
21000,3,1,409,1,2,16,93000
7500,1,1,95,1,12,17,55800
14750,5,1,160,1,1,14,55800
15500,5,1,120,2,20,11,24800
12999,6,0,306,1,12,21,55800
24800,2,0,231,1,12,27,31000
7800,1,0,131,2,26,17,93000
6200,4,1,95,1,17,14,62000
9900,7,0,250,3,23,23,93000
11850,6,1,95,1,12,12,37200
5900,5,1,150,2,12,19,93000
5950,6,1,131,2,20,20,62000
9500,5,1,265,2,1,18,93000
9250,4,1,75,1,13,11,24800
16000,6,1,170,2,12,13,55800
5500,4,1,75,1,19,16,62000
13800,6,0,333,1,2,18,93000
7500,3,0,71,1,22,10,24800
6999,6,0,186,1,23,13,77500
11000,5,1,105,2,21,11,49600
13900,2,1,150,1,26,15,49600
11500,6,0,129,1,2,17,55800
11540,3,1,122,1,26,13,49600
13199,2,1,120,1,17,11,18600
12790,2,0,163,1,12,22,24800
13750,5,1,86,1,26,8,12400
8200,4,1,75,2,16,10,49600
21999,6,0,170,2,12,10,62000
24999,5,0,239,2,1,12,49600
28300,1,1,114,2,26,11,24800
14900,5,1,105,2,26,11,31000
12800,6,1,140,2,1,13,49600
20200,5,0,200,2,6,10,43400
5500,6,0,163,1,1,20,93000
10490,4,1,80,1,6,10,18600
10999,4,1,117,1,15,12,37200
13900,4,1,86,1,1,10,18600
5600,3,1,224,1,1,23,93000
18000,2,1,122,1,26,11,12400
5300,1,1,95,1,12,16,93000
13500,6,0,218,2,2,16,93000
6490,6,1,120,1,17,15,43400
7490,4,1,105,2,21,14,43400
47999,2,0,313,2,2,9,37200
9500,1,1,109,2,26,18,93000
12990,6,0,190,2,1,16,93000
15900,1,0,140,2,6,12,77500
13499,6,1,156,1,12,13,62000
7990,5,1,200,1,1,18,93000
5997,1,1,102,1,26,16,93000
5500,1,1,102,3,26,17,93000
5250,2,0,193,1,2,27,93000
9000,6,1,140,2,1,15,93000
9600,5,1,177,2,2,15,93000
7600,3,1,122,1,12,17,77500
7499,2,1,170,1,2,22,93000
34900,6,1,220,1,6,55,3100
8800,5,1,165,2,16,12,18600
12800,5,1,265,1,1,24,62000
6999,3,1,265,1,16,22,93000
7450,2,0,170,1,1,20,93000
9450,6,1,163,1,1,18,77500
5299,4,1,90,1,13,18,93000
8380,5,1,150,1,21,15,93000
8000,7,1,129,2,24,16,93000
6800,6,0,224,2,26,17,93000
14900,5,0,170,2,12,14,93000
10200,6,1,150,2,2,17,93000
7500,6,0,143,2,2,15,93000
7000,6,0,150,1,26,19,62000
16500,1,0,179,2,26,11,93000
11200,4,1,105,1,21,9,18600
43900,2,0,265,1,18,9,6200
21500,3,0,239,2,1,14,93000
11500,6,0,197,2,2,15,93000
14990,5,1,140,2,26,10,55800
5900,5,0,218,2,2,19,93000
20500,6,0,272,1,12,17,93000
12999,1,1,105,2,26,12,43400
7000,5,1,140,2,21,16,93000
5300,1,1,177,2,25,15,93000
7900,7,1,150,1,25,18,49600
25950,7,1,163,2,6,9,18600
5900,1,1,102,2,26,26,93000
12900,5,1,102,2,26,13,43400
14800,6,1,117,1,15,11,43400
5500,6,1,150,2,0,17,93000
5900,4,1,92,1,24,14,55800
9600,0,1,122,2,17,10,77500
7100,3,1,177,2,2,15,93000
6800,1,1,120,2,4,12,93000
44900,1,1,140,2,26,8,6200
10450,2,1,220,1,18,22,93000
14000,2,1,71,1,22,20,3100
17000,6,1,231,2,2,18,93000
11599,5,1,143,2,2,13,93000
30600,2,0,231,2,12,13,49600
5990,6,0,95,1,12,16,93000
11900,6,1,170,2,12,15,77500
6990,6,0,230,1,16,18,62000
14000,5,1,99,1,8,10,18600
5500,1,1,150,2,16,18,93000
